date,weekdays,Dow_Jones_Index_Industrial_Average,NYSE_Index_Composite,S&P/TSX_Composite_Index,Index_FTSE_100,France_Index_CAC_40,Germany_Index_DAX,Index_FTSE_MIB,Shanghai_Stock_Exchange_Index_Composite,Tokyo_Index_Nikkei_225,KRX_Index_KOSPI_200
2012/1/2,Monday,,,,,3222.30000000,6075.52000000,15454.62000000,,,238.70000000
2012/1/3,Tuesday,12397.38000000,7624.32000000,12208.43000000,5699.91000000,3245.40000000,6166.57000000,15645.56000000,,,245.82000000
2012/1/4,Wednesday,12418.42000000,7612.15000000,12226.47000000,5668.45000000,3193.65000000,6111.55000000,15327.03000000,2169.39000000,8560.11000000,244.24000000
2012/1/5,Thursday,12415.70000000,7599.97000000,12237.40000000,5624.26000000,3144.91000000,6095.99000000,14767.22000000,2148.45000000,8488.71000000,243.56000000
2012/1/6,Friday,12359.92000000,7557.68000000,12188.64000000,5649.68000000,3137.36000000,6057.92000000,14645.64000000,2163.40000000,8390.35000000,240.57000000
2012/1/7,Saturday,,,,,,,,,,
2012/1/8,Sunday,,,,,,,,,,
2012/1/9,Monday,12392.69000000,7584.66000000,12196.72000000,5612.26000000,3127.69000000,6017.23000000,14401.55000000,2225.89000000,,238.02000000
2012/1/10,Tuesday,12462.47000000,7668.90000000,12270.66000000,5696.70000000,3120.79000000,6162.98000000,14844.81000000,2285.74000000,8422.26000000,241.69000000
2012/1/11,Wednesday,12449.45000000,7661.98000000,12260.94000000,5670.82000000,3204.83000000,6152.34000000,14882.44000000,2276.05000000,8447.88000000,240.83000000
2012/1/12,Thursday,12471.02000000,7681.26000000,12274.32000000,5662.42000000,3199.98000000,6179.21000000,15192.79000000,2275.01000000,8385.59000000,243.46000000
2012/1/13,Friday,12422.06000000,7632.03000000,12231.06000000,5636.64000000,3196.49000000,6143.08000000,15011.09000000,2244.58000000,8500.02000000,245.28000000
2012/1/14,Saturday,,,,,,,,,,
2012/1/15,Sunday,,,,,,,,,,
2012/1/16,Monday,,,12258.60000000,5657.44000000,3225.00000000,6220.01000000,15220.98000000,2206.19000000,8378.36000000,243.10000000
2012/1/17,Tuesday,12482.07000000,7670.47000000,12232.83000000,5693.95000000,3269.99000000,6332.93000000,15325.98000000,2298.38000000,8466.40000000,247.81000000
2012/1/18,Wednesday,12578.95000000,7766.95000000,12327.52000000,5702.37000000,3264.93000000,6354.57000000,15278.00000000,2266.38000000,8550.58000000,247.82000000
2012/1/19,Thursday,12625.19000000,7819.37000000,12380.69000000,5741.15000000,3328.94000000,6416.26000000,15651.99000000,2296.08000000,8639.68000000,251.27000000
2012/1/20,Friday,12720.48000000,7829.33000000,12397.10000000,5728.55000000,3321.50000000,6404.39000000,15632.06000000,2319.12000000,8766.36000000,256.61000000
2012/1/21,Saturday,,,,,,,,,,
2012/1/22,Sunday,,,,,,,,,,
