Date,SSE ,rf,pingan,cpic,spd,pre,jf,smg,baosteel,saic,acc,sinopec,gdpd,cypc,shanghai_pharma,china_meheco,hd_medicine,hikvision,haier,china_ZTE
2021-01-04,3502.96 ,0.9609 ,210.70 ,51.10 ,129.90 ,330.54 ,776.64 ,162.12 ,15.81 ,229.19 ,248.37 ,13.32 ,588.77 ,60.32 ,187.13 ,134.46 ,335.36 ,1047.88 ,1132.14 ,544.85 
2021-01-05,3528.68 ,0.8067 ,208.44 ,50.50 ,129.77 ,326.43 ,776.64 ,160.69 ,15.42 ,221.01 ,246.14 ,13.28 ,575.45 ,60.29 ,188.02 ,136.25 ,334.23 ,1152.67 ,1198.91 ,547.71 
2021-01-06,3550.88 ,0.6909 ,212.08 ,50.86 ,131.64 ,329.24 ,784.78 ,155.67 ,15.45 ,223.55 ,265.48 ,13.58 ,578.11 ,61.31 ,189.19 ,136.25 ,357.08 ,1166.14 ,1194.01 ,533.74 
2021-01-07,3576.20 ,0.9931 ,213.37 ,52.32 ,131.51 ,325.57 ,772.56 ,154.59 ,16.51 ,226.08 ,260.96 ,13.61 ,578.11 ,61.37 ,185.08 ,133.24 ,362.22 ,1226.53 ,1232.86 ,518.50 
2021-01-08,3570.11 ,1.0167 ,212.97 ,51.96 ,131.78 ,328.38 ,780.71 ,157.46 ,17.03 ,248.65 ,268.18 ,13.85 ,578.11 ,61.72 ,186.45 ,136.35 ,358.21 ,1206.54 ,1244.94 ,538.02 
2021-01-11,3531.50 ,1.2854 ,207.85 ,52.31 ,129.90 ,325.13 ,769.85 ,164.27 ,16.33 ,257.22 ,268.47 ,13.42 ,564.79 ,60.96 ,183.31 ,134.09 ,345.40 ,1241.47 ,1232.49 ,554.37 
2021-01-12,3608.34 ,1.4099 ,217.23 ,53.63 ,131.11 ,327.94 ,769.85 ,158.54 ,16.49 ,254.59 ,270.51 ,13.71 ,564.79 ,61.15 ,185.76 ,136.07 ,349.55 ,1288.81 ,1327.93 ,560.56 
2021-01-13,3598.65 ,1.4660 ,216.53 ,52.23 ,131.91 ,334.00 ,769.85 ,163.92 ,16.88 ,243.79 ,272.22 ,13.95 ,575.45 ,61.98 ,186.06 ,138.33 ,340.76 ,1260.61 ,1325.29 ,582.78 
2021-01-14,3565.90 ,1.7404 ,210.92 ,52.63 ,132.31 ,334.43 ,794.29 ,168.94 ,17.76 ,244.47 ,266.95 ,13.98 ,572.78 ,61.21 ,187.92 ,138.23 ,339.13 ,1204.43 ,1277.00 ,569.93 
2021-01-15,3566.38 ,1.8100 ,214.95 ,54.73 ,132.99 ,335.51 ,784.78 ,167.14 ,16.49 ,250.11 ,264.05 ,14.01 ,564.79 ,61.28 ,186.55 ,137.38 ,341.39 ,1239.36 ,1256.63 ,557.07 
